Comment;;;; Note 
Ce film est un authentique navet. Passées les premières minutes peu glorieuses mais encore dignes (équivalant grosso modo à la bande-annonce), tout devient terriblement mauvais. Les gags sont d'une lourdeur inédite et les scénaristes semblent avoir pris un malin plaisir à vider toutes leurs bonnes idées de leur substance. Les minions, censés être des méchants, ou au moins des serviteurs de méchants, se retrouvent finalement à combattre les prétendus "super-méchants" (non, n'est pas méchant qui sort une arme plus imposante à chacune de ses apparitions) avec une maladresse très rapidement insupportable (non, on ne fait pas avancer une histoire à coup de gags mal amenés aux airs de deus ex machina franchement fumeux). Finalement, toute l'originalité de ces personnages, la contradiction qui les rendait amusants dans "Moi, moche et méchant", disparaît vite pour ne laisser que de banals gentils, horripilants, qui peinent à traverser un long métrage au rythme navrant et dépourvu de tout enjeu, qui s'acharne à aguicher les adultes avec des "clins d'oeil" permanents aux années 1960 (en réalité clichés déprimants de stupidité : évoquer Jimi Hendrix ou les Beatles, ce n'est pas recréer l'ambiance de l'époque).Ne dépensez pas d'argent pour ça. Et même si vous avez des places gratuites, ne perdez pas votre temps et ne faites surtout pas subir ça à un enfant. Devant les minions, si vous restez sur votre siège, comme moi, plein du vain espoir que les choses ne pourront plus empirer, vous sortirez une heure et demi plus tard avec l'impression qu'on vous a absorbé une bonne partie de votre vitalité et de votre intelligence. Fuyez, pauvres fous !;;;; 5
Ce film est tout simplement magnifique. Le scénario, les acteurs, la musique ... G.Canet &amp; M.Cotillard exceptionnels.Cap ou pas cap !?Une merveille quoi !;;;; 5
Scénario sympa mais trop de longueur . Un film de survivor qui se regarde mais qu'on ne regardera pas une deuxième fois;;;; 2.5
Le meilleur film de Robert Altman avec SHORT CUTS. Un film rare depuis plusieurs décennies à voir d'urgence pour tous les fans du cinéma américain des années 70's.;;;; 5
Ce fut un très agréable moment. On découvre un Mélenchon humain, cultivé, stratège et bosseur.Les coulisses de cette campagne révèlent une équipe soudée, compétente et une organisation horizontale à l’opposé de l'image des medias qui représentent Mélenchon en dictateur autoritaire...c'est tout le contraire...A voir vraiment.;;;; 5
Étrange : je voulais laisser un commentaire mais quand un film n'est pas sorti, on ne peut mettre qu'une critique (comme je disais : Étrange).Bref, quand j'ai lu le synopsis de ce film, je me suis dit : " Merde, encore un film Français génial que les Ricains vont refaire en pire juste parce qu'ils n'aiment pas doubler le jeu d'acteur pitoyable des frenchies (selon eux) ".C'est vrai, ça va plus vite à écrire qu'à penser mais l'idée est là.Je ne saurais que trop vous conseiller de voir l'original car non, le jeu d'acteur n'est pas pourri et Béatrice DALLE est impressionnante et très flippante dans son rôle.Attention pourtant, vous ne pourrez plus regarder "inside" après avoir vu "à l'intérieur" puisque c'est le genre de film que l'on peut ne voir qu'une fois tellement la fin joue sur le film.;;;; 2.5
Un super film qu'il faut voir à tout prix avec des scènes très émouvantes , surtout à la fin. Tout au long du film des clins d'oeil sont fait , en tout c'est un film à voir et a conserver !!!;;;; 5
Edward Norton et Edward Furlong magnifiques. La tragédie au sens pur. On n'en ressort pas indemne.;;;; 4.5
Stanley Kubrick nous amènes dans la société hypocrite et cruel du 18e siècles. Ce film mérite d'être vue rien que pour sa qualité scénaristique, pour les décores et les costumes qui sont magnifique et la BO qui colle magnifiquement  bien avec le film. Ce film est un chef-d'œuvre;;;; 5
Tous simplement un film culte ! Certes drôle mais pas que ...;;;; 5
Film culte. Totalement consensuel. Et pourtant... amusant de voir les critiques presses de certains journaux... qui étaient les premiers à éreinter ce film sa sortie.;;;; 5
j etais un peu reticent a regarder ce film car je me suis dit que ca devait etre trop intello et vieillot pour moi, pourtant des le debut on est happe par la beaute des decors et surtout celle de la musique.l histoire prend son temps(d autres trouveront qu elle est trop longue) mais on ne voit pas le temps passer.la reconstitution e l epoque est bien faite(meme si je n etais pas encore né pour verifier) et l histoire est prenante.en gros un film a ne pas rater;;;; 5
J'allais mettre 1 et finalement 2 juste pour les effets spéciaux. Après 4 ans sans aller au ciné, ma femme et moi sommes sorti en se demandant quelle était l'histoire du film, pourquoi si peu d'action et des jeux d'acteur vraiment pas au top. bref A EVITER!!! Et en plus, j'ai trouvé que l'inspiration n’y étais entre un mélange d'avatar pour les personnages, du cinquième élément...;;;; 2
Le plus grand chef-d'oeuvre cinématographique de tout les temps. Ce film représente 3 heures d'intense émotion. Cela change des films dont nous connaîssons le dénouement dès les 5 premières minutes. Des décors parfaitements réaliste. Ce film est tout simplement divin. Merci maître Kubrick;;;; 5
J'ai vu ce film ce soir j'avais confiance et au final je suis très déçu, car je m'attendais a beaucoup mieux, je pensais passer un moment intense devant l'un des films que j'avais le plus d'espoir de cet été avec les scènes d'action intense mais j'ai pas vraiment ressenti grand chose dans ce film, Luc Besson promet plein de truc il m'offre rien,c'est dommage car les quarante premières minutes étaient vachement intéressant et après ça s’arrête la, le reste des scènes sont pas intéressants puis ça se complique avec des personnages qui ont pas de grand intérêts on comprend leur humour mais on a vu des milliers de fois c'est trop ils sont pas assez développés, l'histoire n'est pas du tout intéressante , les scènes d'actions y en a pas beaucoup yen a une que j'ai adorée s'est la bataille avec les aliens quand y a Rihanna en mode méduse et les autres sont passable ça aurait pu être mieux que ça quand même et la fin du film est vraiment médiocre, je suis pas venu au ciné pour m'ennuyé a ce point déja j'y vais pas souvent car les places sont cher je vais pas claquer mon pognon pour ça c'est pas le but je suis désolé mais j'y vais car j'en avais marre de rester enfermer chez moi comme un con en train de me faire chier, franchement je m'attendais pas a ça déjà j'ai passé un été de merde en vrai et pour me soulager ma conscience je pensais un minimum un film intense mais non malheureusement c'est raté, mais au moins les plans des décors, les aliens, les planètes en eux même sont magnifiques et l'univers est cohérente, Bon ce film est un juste un bon divertissement sans plus même si je suis déçu mais je verrais si je le téléchargerais quand il sortirai en DVD.;;;; 2
pourtant grand amateur de films d'horreur, là on trouve un très grand NAVET!!!!!!!!!!!!A éviter, sans commentaires!!!!;;;; 5
la part belle est faite aux images de la planète bleue. mr what else mange une bonne partie du film pour le plaisir de ses fans mais Sandra Bullock n'est pas en reste. elle a dû en baver sur le tournage car le rôle semble clairement avoir été éprouvant!;;;; 4
C'est loin d'être un "Priscillia folle du désert", le film pioche pas mal dans d'autres productions du genre, cela dit les acteurs sont crédibles, la morale est certes convenue, mais le film reste gentillet et on passe un bon moment tout de même. à voir.;;;; 3.5
J'ai rarement vue un film aussi pourri!!--" serieux ...L'ambiance a chier les maquillages a peine griller! Les acteurs sont nul --" entre une blonde qui est tres abrutie... Et un mec qui se prend pour un warrior melanger avec un maggiver. Des dialogues completement inutil!Les mouvements de camera vraiment nul et ne parlon pas de la bande son ...;;;; 1
4sur5 Le réalisateur d'Evil Dead et de Darkman se voit définitivement intégré par Hollywood qui lui confie l'adaptation live de Spider-Man, vieille icône des comics Marvel. Un début affreusement cliché autour de l'archétype de l'intello scientifique asocial malgré lui. Un super-blaireau qui acquiert de super-pouvoirs ; si le genre est geek par tradition, ce super-héros là l'est par définition. Mais le film dépasse tous les stéréotypes sur lesquels il se fonde (''j'ai un don/une malédiction'' : Monk aussi, hein!), et partant, surpasse toutes les espérances. Car ce que Raimi met en scène, c'est une brillante métamorphose : le personnage s'affirme, se dote d'une certaine répartie, gagne en charisme. Il devient attachant et son capital sympathie inespéré permet au spectateur de s'impliquer. C'est d'ailleurs la sensation globale éprouvée devant ce Spider-Man : le film part du cliché, et d'un héros sans attrait, pour devenir particulièrement stimulant et ouvert (d'une romance insipide il évolue vers une intimité riche) ; tout devient possible et cet état d'omnipotence est forcément séduisant. Les séquences édifiantes et intimistes s'emmêlent sans laisser le moindre répit (le combat dans l'immeuble de feu, pour ne citer que lui, concilie parfaitement ces deux pôles) ; le simple film de super-héros est chargé d'une force émotionnelle telle que Spider-Man en arrive à ressembler à une sorte de conte. Un conte sur la mue, le passage à l'âge adulte, les choix qu'il implique et le courage qu'il exige (on pourra estimer que les pouvoirs permettent l'accomplissement de la puberté). C'est aussi la lutte de deux personnages en plein dédoublement ; en face, Willem Dafoe, gueule hors-norme pour parfait méchant, campe un Bouffon Vert cynique à la rhétorique séduisante. Une créature du Mal qui n'est pas sans rappeler le Joker du premier Batman.http://videodrome.over-blog.net/;;;; 4
C'est mon film preferé !!! J'adore les acteurs et toute l'histoire c'est un bon film (français en plus)Bon c'est sur que s'est abuzé par moment pck aller a l'oral du bac avec les sous vetements au dessus ... Mais bon c'est un film et c'est pour sa qu'on va le voir.;;;; 5
Encore une fois, tous les éléments sont là pour passer un bon moment. Mais non... Les acteurs collent parfaitement aux personnages, les images sont belles même si pour moi la 3d n'apporte pas grand chose, l'histoire est cohérente. Malgré çà le film est mou. La musique est bonne mais ne colle pas au scène d'action. Au final on s'ennuie assez vite. Vraiment dommage.;;;; 2
franchement je ne comprends pas les remarques de certaines personnes, le film ne peut que attendrir les gens sur l'amour, l'amitié, les enjeux qu'on peut donner à un jeu qui dure éternellement, la façon dont on fuit la vie, les décisions qu'on doit prendre,ce film est merveilleux. les acteurs géniaux,l'idée originale,on ne veut pas partir sans avoir vu la fin. deux possibilités : on choisit s'ils meurent ensemble ou s'ils vivent ensemble, un peu décevant que le réalisateur ne se soit pas positionné, mais c'est son choix. et quant aux critiques de presse, c'est déroutant.;;;; 5
Visuellement très réussi comme d'habitude chez Besson. La "faune" alien est étonnante et certains personnages de la BD sont fidèlement restitués mais comme d'habitude aussi le scénario a été écrit par des enfants de 10 ans ! Nombreuses incohérences, personnages immatures et mal introduits, "message" simpliste (l'amour c'est bien, la guerre est c'est pas bien)... Le gâchis habituel. Quel dommage au vu du potentiel.;;;; 2
Stop les critiques de ce film...il est tout simplement MA-GNI-FIQUE!aucun film americain ne lui arrive a la cheville...encore moin les gros budgets!Nos bon vieux films francais valent plus le coup (pour une fois il faut se l'avouer!)si seulement il y avait plus de films comme celui ci...(reveuse^^) je le conseil vivement!;;;; 5
beaucoup trop enfantin s adressant aux 15 ans maximum malgré un beau décor, dommage. si un numéro 2 est prévu ce sera sans moi...;;;; 1.5
exellent;;;; 5
Très bon film ,on y passe un excellent moment !!! l'histoire est très bien pensé .Je recommande sans hésitation .;;;; 4
Pour l'avoir lu cet aprem je suis a 200% satisfait de ce film au visuel HALLUCINANT !!Il n'y a seulement que la premiere demi-heure qui est un peu longuet - juste le temps de mettre l'histoire en place -;;;; 4.5
Assez déçu.On a un peu l'impression d'avoir le cul entre deux chaises en regardant ce film.On vient pour se frapper du Marvel à la sauce Wolverine et on repart avec du Man of steal !Trop lent et accés sur la sensibilité du spectateur on en oubli l'essentiel : on veut que notre Héro fracasse tout le monde !Bref c'est dommage, notre super héro vieillissant est au chevet d'un vieillard agonisant et cerise sur le bouquet : une petite Wolverinette débarque la dedans, bien sur poursuivi par des super méchants pas beau ! (je ne spoil pas car tout ceci est dans la bande annonce du film)Voila, il ne vous reste plus qu'a patienter 2h15.....bon courage !;;;; 2.5
Un jeu et une amitié qu'on a tous rêvé d'avoir, entre amour et amitié...Des personnages attachants interprétés par les fabuleux "Maion Cotillard" et "Guillaume Canet" que l'on découvre à travers un jeux destructeur: " Cap ou Pas Cap ?!?".Film génialissimement fait qui prend aux tripes et qui fait couler les larmes...J'adore;;;; 5
Je connais très peu la BD et j'avais décidé d'aller voir le film avec "mon âme d'enfant" vu les critiques assez sévères. Manifestement je n'ai pas réussi à retomber suffisamment en enfance : la relation Valérian / Laureline est "nunuche", niaise, superficielle, artificielle... Et comme cette relation revient régulièrement dans le film cela fini par énerver plus souvent qu'à son tour.Ajoutez-y des combats nuls dignes des films des années 70 (à moins que ce ne soit une référence à l'époque de la BD :-), un scénario plat et insipide et vous aurez un film qui se limite à quelques idées sympa (le voyage"partiel" dans une autre dimension) et une belle débauche d'effets spéciaux, sauf que je n'étais pas venu voir une présentation de 2h18 mais un film avec ses émotions, ses surprises... ce qu'il ne contient absolument pas. Toutes les surprises scénaristiques se voient arriver 30mn à l'avance il est inutile de les spoiler !J'ai mis 2 étoiles pour être gentil avec Luc Besson, dont j'ai adoré les films du 20ème siècle, mais je ne suis pas sûr que ce film les vaille !Vivement Blade Runner 2049 qui s'annonce certainement plus minimaliste dans les décors et la réalisation mais autrement plus riche en terme de contenu.;;;; 2
J'ai vraiment beaucoup aimé ce film. L'histoire très romantique nous déprime presque car on se dit qu'on aura jamais la chance de vivre une histoire aussi belle. La fin est un peu embrouillante ce qui fait que je ne suis pas sure que mon interprétation soit la bonne. Néanmoins, "Jeux d'enfants" restera sûrement un de mes films préférés. Bravo aux acteurs et à Yann Samuel.;;;; 4
un film avec de superbes images mais une histoire tirée par les cheveux, des moments lent à n'en plus finir et une fin ultra prévisible... Déception totale de luc besson;;;; 2
bon, je ne suis pas un fanatique de les filims, mais les acteurs sont exellents. pour moi c'est sont les grand moments des scènes que j'aime. c'est une film que je recommande!;;;; 4
Ceux qui veulent voir un documentaire sur le black métal ou les festivals de rock passez votre chemin ! On est là pour s'amuser sur un thème plutôt original ...cette comédie loufoque est un raod-movie déjanté sur l'amitié et la crise de la trentaine ayant pour fond ce genre de hard rock. Ces vieux rockers qui veulent rester jeunes sont parfois pathétiques sinon tendres dans leur grange à ne pas vouloir voir les chose en face .Très bonne idée justement d'avoir pris Julien doré ( pas si mauvais que çà )  en tant que leader du groupe .cela rajoute dans la parodie pop/metal. Même les babas cools en prennent pour leur grade . Astier et ses dialogues sont a mourir de rire ( (c'est le cas de le dire) et on va quand même pas lui reprocher avec " Kamelott " d'insulter les amateurs d'histoire médiévale ,ici c'est pareil...;;;; 3.5
Histoire touchante et juste. Fernandel est excellent, avec une mise en scène qui élimine tous les effets faciles : un road movie naturel, sobre. Un de mes films préférés.;;;; 5
on ma conseillé de le voir a tout pris . je me suis jamais autant ennuyé et en plus j'ai meme pas rigolé une seul fois . je ne comprend pas le succes de ce film .;;;; 1
Fan de la saga Harry Potter, je suis allée le voir dès le jour de sa sortie. Le film a répondu à mes attentes, on en prend plein les yeux et on ne voit pas passer les 2h30! Malheureusement comme tout roman adapté au cinéma, de nombreuses scènes, pour moi primordiales, ont été coupé.Donc film a voir bien entendu mais les vrais fans des livres d'HP pourraient etre déçus...;;;; 4
Les effets spéciaux sont tout bonnement hallucinants, et le scénario reste très intérressant et parfaitement bien exploité. Les acteurs ont un jeu très crédible (oui même Nicolas Cage réuissit à convaincre ^^ )La scène de fin du monde est extrêmement belle avec la 7e symphonie de Beethoven en fond sonore qui libère toute la beauté et la tragédie de la scène.A voir absoluement.;;;; 5
Quelle déception, moi qui m'attendais à retrouver, le livre qui lui était tous simplement un chef-d'oeuvre, dans ce film je n'ai rien retrouvé du livre, comme la scène ou la petite fille décède qui était tellement émouvante dans le livre mais qui était ellipsé en 2 minutes dans le film.J'espère que les trois autres volets de la Saga seront mieux traité, et mieux adapté, car il s'agit bien d'une adaptation et pas d'un film sensé être vaguement inspirée d'un livre.Le casting, lui est pas mal, mais l'histoire étant creuse il n'y a pas trop d'intérêt dans ce film.Bref, une de mes plus grandes déceptions. A ne surtout pas voir si vous avez lu les livres.;;;; 2
Une horreur ! Payer 17 € pour voir cette daube ! merci !Je suis en train de lire les tomes (mon mari est deja adepte depuis longtemps !) et j'ai adoré les films précédents ! L'attente fut longue, l'excitation a son paroxisme ... et rien ! J'ai attendu tout le long en me disant "mais si, il va se passer un truc". Ou est l'action ?? En fait, les 3 pauvres scènes qui bougent un peu dans la bande annonce sont les seules de tout le film. Le quidditch est inexistant ! La bataille se résume a casser deux verres et se barrer ! Les idylles d'ados auraient pu être rigolottes si elles étaient restées en second plan !Je n'ai pas encore lu ce tome et j'ai pas tout compris du film, mon mari a du m'expliquer !Une déception immense ... le pire film de la saga !il y avait tellement de choses a montrer, à faire. Ca aurait vraiment pu être un film génial ! Très mal exploité !;;;; 5
Avec les moyens investis dans ce film, on aurait pu faire 3 ou 4 super film... au lieu de ça, un grosse bouse où tout est totalement invraissemblable, malgré les effets spéciaux on n'arrive jamais à y croire un dixième de seconde ! A oublier très vite ...;;;; 2
Ce film m'a beaucoup déçu dans l'ensemble, un manque d'action évidente qui pèse durant tout le film.Le film repose principalement sur les histoire d'amour des 3 héros, chose qui dans le bouquin n'occupe que 20 pages sur 700, et qui ne méritait donc pas toute cette mise en scène dans le film.Je ne le recommande pas au vrai fan d'harry potter, ayant lu les bouquins. C'est bien dommage pour ce 7eme volait car j'avais adorer les précédents.;;;; 1
Bon j'ai fini par voir ce film en dvd.  Hé bien je n'ai pas été déçue. Tous les clichés de la comédie moraliste sont là: le riche qui vit dans un hôtel particulier (qui s'ouvrira aux vrais valeurs de la vie) face à un brave et honnête bonhomme du 93 (avec un coeur gros comme ca). Une fois qu'on a dit, on a tout dit. Rien ne vient étayer cette trame qui parait avoir été écrite pour des enfants de 8ans. Et je ne suis pas une enfant de 8ans.;;;; 2
On apprécie le risque pris par le réalisateur et par toute l'équipe de se lancer dans un tel projet complètement "fou". Défi plutôt réussi pour ma part.On s'attache à ces personnages qui prennent des centimètres, des rides pour certains ou quelques cheveux blancs et pour une fois cela n'est pas du à la magie du cinéma mais bien à celle du temps.Les musiques diffusées, elles aussi, évoluent d'année en année, nous permettant de garder des repères temporels précis et de faire de petits bonds dans notre propre passé.;;;; 4
American History X est un chef d'oeuvre du cinéma, qui arrive a nous faire réfléchir et émouvoir sur des sujets sensibles et sérieux (comme le racisme, la haine, l'antisémitisme, la violence...) sans jamais nous ennuyer. Réalisation très réussie, dialogues cultes, fantastique mise en scène... Très dur et remplis de scènes chocs, un film marquant et émouvant grâce, entre autres, à un extraordinaire Edward Norton dans son meilleur rôle et un Edward Furlong très touchant. Très réaliste malgré un coté un peu trop moralisateur, un film ou il n'y a pas de parti pris et qui ne fait pas dans la dentelle notamment avec des scènes très violentes et un final éprouvant. Impossible de rester indifférent devant cet inoubliable long-métrage .;;;; 5
Génial!;;;; 5
Je me suis inscrite exprès sur le site pour vous faire part de cette pure daube qu'est ce volet de la saga HP.Étant une fan de cette magnifique saga, j'ai été extrêmement déçue (et le mot est encore bien faible) après avoir vu le film. Déjà le film n'est pas une adaptation fidèle du livre mais une adaptation libre (ce dont je ne m'y attendais pas). Je trouve que les scènes d'action présentes dans le livre sont bien plus intéressantes et prenantes que celle dans le film, d'autant plus que beaucoup de passages très intéressants et pleins d'humour furent absents du film (comme quand Dumbledore devait venir chercher Harry chez lui au début du film ou alors lorsqu'Harry et Dumbledore voient l'histoire et le passé de la mère de Voldemort, son père et son oncle Morfin dans la Pensine, etc, bref tout plein de choses qui sont importantes pour la suite des prochains films). La scène de la mort de Dumbledore fut la plus pitoyable! Comment peut on imaginer un Harry fidèle et prêt à tout pour Dumbledore, rester sans rien faire, tourner sur place, sans intervenir et sans protéger Dumbledore d'une mort certaine ? C'est d'une illogique incroyable ! Même quelqu'un qui n'aurait pas lu le livre aurait trouvé ca nul!Et pour parachever cette daube sans nom, nous pouvons pointer du doigt le jeu d'acteur tout à fait à gerber de Daniel Radcliff et de ses compagnons Ron et Hermione. Le seul acteur qui a démontré un bon jeu était Drago Malefoy.Voilà, bon film et bonne daube :);;;; 1
Je me suis laissé emporté par ce film subtil et fort qui represente avec brio le bonheur, la douleur, la puissance ravageuse et les "non-limites" de l'amour que seuls certains aventuriers, passionnés ou même fous connaissent et comprennent. je m'inclus parmis eux. Les dialogues et les echanges de Guillaume canet et marion cotillard, dans leur tres bon jeu, font d'eux un duo reussi. Passe une realisation qui deplaira aux defenseurs de J.P. Jeunet, ce qui est comprehensible. Pour finir, si vous etes calé en delires et en folie du coeur, filez voir ce tres bon film pour les amoureux du reves, de la passion et ... de l'amour ...;;;; 5
Je ne me suis jamais autant ennuyé pendant 1 film !!!!!!!!;;;; 5
Ce film est fabuleux en tout point. Les acteurs sont géniaux, la BO, les dialogues... vraiment tout!Moi qui n'aime pas beaucoup les films français, j'ai vraiment été agréablement surprise! Ce film est fabuleux! Je conseille à tout le monde de le voir. Je vous invite à venir voir mon blog consacré à ce film : http://cap-bien-sur.skyblog.com.;;;; 5
Une adaptation dans le sens ou l'errance des personnages est bien restituée. Un film extrémement cru et violent.;;;; 4
C'est bien la peine de nous faire attendre : film très mal découpé (c'est le bordel ds les scènes), manque des scènes importantes du livre. rajout de scènes pas nécessaire, et final moukasse...on reste sur sa fin pour ceux qui n'ont pas lus le livre et on est encore plus déçus qd on les a lus ! Autant les autres film avaient réussis leur effet soit pas l'intrigue soit en se rattrapant sur les effets spéciaux mais là... Tant pis , le plus terrible c'est que j'attendrais qd même de voir les 2 derniers en vrai fan !;;;; 2.5
J'ai du voir en tout et pour tout ce film 30 fois.Ce film accompagné de sa B.O est tout simplement magique.;;;; 5
J'ai été (un peu) déçu par le manque de fidélité au livre... Plusieurs scènes importantes (la batailles entre eleves/profs contre mangemorts) ont été tout simplement supprimées par les scénaristes, et quelques scènes qui n'étaient pas dans le livre (le Terrier qui se fait attaquer) ont pris beaucouo de place. Je suis également déçu de ne pas voir la scène de l'enterrement de Dumbledore, qui aurait pu etre grandiose! En revanche,la scène dans la caverne était bien réussie, et le moment ou tous les profs et eleves lèvent leurs baguettes devant le corps de Dumbledore était magnifique. Mais je pense que David Yates s'est trop centré sur les problèmes d'adolescents que sur les problemes magiques, et si il veut faire ça, qu'il le fasse ailleurs, mais pas dans HP!! Bref, j'avais trouvé le HP5 moins bien que les autres, et je suis décu par le 6, je vais donc essayer de ne pas trop attendre du HP7! (david yates= erreur!);;;; 2.5
Un pur moment de romantisme et d'amour. Tendresse, folie et passion amoureuse d'un jeune couple du 21 ème siècle. Ce chef d'oeuvre se regarde...tout simplement !;;;; 5
Je venais de regarder ce film aujourd'hui et je pense que je suis tout a fait d'accord avec reinedecaro, je trouve qu'il manquais beaucoup de scène et qu'ils en ont rajoutés alors qu'il en parle même pas dans le livre mais j'ai quand même adoré il était génial.Mais surtout ils doivent RESPECTER LE CONTENU DU LIVRE !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;;;; 5
J'aime beaucoup et tellement ce films ! il est magique ! J'aimerais tellement savoir la suite , comment sa se passe dans le futur de cette histoire;;;; 5
