Comment;;;; Note 
Une comédie romantique rafraîchissante et sympathique, qui n'échappe pas à tous les clichés du genre... Un bon moment toutefois.;;;; 4
On passe  un bon moment, de belles images avec de super effets spéciaux une très bonne bande son.Après, c'est un film de zombie comme plein d'autre, le scénario a des incohérences et certains personnages sont inutile comme le médecin Spoiler: qui meurt dès le début de manière ridicule en glissant! et certaines péripéties n'apportent rien à l'histoire Spoiler: le mec de l’Israël qui nous apprend que ce sont des zombies comme si on ne l'avait pas remarqué !, c'est un peu bidon sur les bord avec un "héros" qui sauve tout le monde et tout etc.....;;;; 3
Bon film. On y passe un bon moment. Dans la lignée du premier. Le meilleur du film reste quand même l'histoire avec la noisette (meriterai d'être un dessin animé à lui tout seul).;;;; 4
Voilà un film surprenant, kitsh, drôle et captivant. Scarlett Johanssen y est pleine de charme en étuidiante nature et sûre d'elle, Hugh Jackman est renversant en charmeur double jeu, et , pour une fois, je trouve que Woody Allen n'en fait pas trop, peut-être grâce au ping-pong de répliques incessant auquel il s'adonne avec Scarlett, et qui fonctionne on ne peut mieux. Un film que je recommande et un coup de coeur en ce qui me concerne. Léger, drôle, fascinant et haut en couleurs : du cinéma qu'on aimerait rencontrer plus souvent.;;;; 4
Voilà un très joli conte sur la nature et ses lois. Une belle morale sans qu'elle soit "moralisatrice". De plus le personnage de la petite fille est très réussi car il s'agit d'une héroïne qui donne une image moderne de petite fille sans que celle-ci soit mièvre ou parodie d'adulte, sans être non plus un garçon manqué. Un bel exemple pour les enfants.En bref, enchanteur !;;;; 4
Super film. Astrophysique revue à la sauce science fiction. Le temps, la gravité, les trous noirs et trous de vers abordés et extrapolés, mis en image via une histoire très bien réalisée le tout sous le thème de la survie de l'humanité. Bravo. J'ai beaucoup aimé.;;;; 5
Un bijoux. Un des films de l année Gros casting qui porte bien son nomLE FILM A VOIRConseillé a toutes personnes.;;;; 5
Je me souviens avoir vu ce chef d'oeuvre ne sachant pas qui l'avais réalisé et produit .Lorsque le générique de fin a défilé et que le nom de Ron Howard est apparu , là je me suis dit ben voilà tout s'explique , les bonnes terres font de bonnes récoltes!;;;; 5
Huis clos au scénario anorexique. Sound of my Voice est un film ennuyeux à tous les niveaux, que ce soit par l’histoire, le jeu des acteurs et les dialogues interminables. L’ajout de scène crado tente de choqué le spectateur, mais l’effet au final en est comique. Tous comme cette dernière touche raté pseudo fantastique  à la fin du film. Un dernier rebondissement qui ne prend pas une seconde. Certains essayeront d’intellectualisé ce long métrage. Mais rien à faire ce film est décevant;;;; 1
Scénario sympa mais trop de longueur . Un film de survivor qui se regarde mais qu'on ne regardera pas une deuxième fois;;;; 2.5
UN excellent moment - comédie familiale avec l'Humour de Chabat et les délires de JamelJ'ai adoré L Wilson en Céline Dion et les clins d’œil à la prophétie des Mayas.;;;; 4.5
Edward Norton et Edward Furlong magnifiques. La tragédie au sens pur. On n'en ressort pas indemne.;;;; 4.5
Surprenant! Oui, surprenant serait le mot exact pour ce film. Surprenant de voir ici un J.Debouze dans un rôle où on ne l'attendait peut-être pas: Un homme plein de dettes, joueur, petit joueur qui n'a aucune confiance en lui, aucune estime pour lui même et dont le chemin va croiser celui d'un ange. Etonnant déjà par le choix du "noir et blanc", étonnant par cette humanité qui semble se dégager, par cette chaleur qui surprend, par l'émotion qui nous parvient de voir ainsi cet homme reprendre à nouveau goût à la vie, goût à lui-même, goût en l'amour. La scène du miroir où J.Debouze, André doit se dire "je t'aime" et où ému, il versera des larmes- est pour moi, l'une des scènes à marquer et à remarquer du film. Evidemment quelques défauts puisque la perfection n'est pas de ce monde. Peut-être un peu trop "niais", trop "utopiste" trop de rêve vendu et même si le "noir et blanc" donne un certain charme, l'on ne comprend pas vraiment ce choix, son intérêt. En tout cas, ce film était agréable à regarder et est donc tout de même assez conseillé.;;;; 4
Tout ce bordel pour ça!? J'avais hâte qu'il se termine!!!;;;; 2
Enfin une comédie romantique qui parle d'autre chose que de la peur de l'engagement des trentenaires. C'est souvent drôle, parfois tendre, toujours léger. Un excellent moment.;;;; 5
Très bon film, je le recommande vivement ! Très belle image, et une jeux d'acteurs juste excellent !;;;; 5
Le film débute avec un film dans le film qui est dans le film :) Et ouais Craven nous a bien surpris. Après scream 3 on l'attendait au tournant. Et bien Scream 4 est une vraie réussite. Scream 1 réinventait le slasher, le 4 le remet au gout du jour. Des meurtres plus sanglant, plus violent et la caméra le rends bien.Pour beaucoup, ce qu'est un film d'horreur parmis d'autres Saw ou Hills have eyes (remake hein ;) ). Si l'on est bien attentif, ce film est une ode au genre. Beaucoup de clin d'oeil de la part du papa de Freddy ( The thing, The hills have eyes, Death proof, et d'autres encore).Le concept ne change pas, des ado se font buter en grand nombres. Jouissif :D (Sadique moi?), l'histoire ne dépasse le QI d'une Huitre, mais bon dieu que le twist  final est bon.Beaucoup d'appréhension par rapport a ce film, mais Wes nous montre qu'il est toujours dans la course. Et pourquoi scream  4 est bon? parce que Kevin Williamson est aussi de la parti. Tout le monde est réunis, réalisateur, scénariste, acteurs (sauf les morts).Scream 4 est une réussite.;;;; 4.5
Vu au festival Cinéma d'Amérique Latine de Toulouse, à ne pas rater ! Un très beau film, plein d'humour, réaliste sans être misérabiliste ou tire larme. L'héroïne est attachante (bravo à l'actrice) et on a vraiment envie qu'elle s'en sorte. A ne pas rater, pour une fois que l'on peut voir sur nos écrans un film du Nicaragua, ce serait dommage de passer à côté.;;;; 4.5
Génial pour les fans de la série un leon scott kennedy  toujours au niveau du cauchemars qui l'attend  et une Ada yong toujours aussi mystérieuse ! :);;;; 5
Frais comme tout, juste un petit régal!Du cinéma à la Juno;;;; 4.5
Juste le meilleur film du genre ! Bien meilleur que tous les films américains du genre Very Bad Trip ou Projet X. On nous offre ici un vrai film avec une histoire, une bonne realisation et surtout du rire de debut à la fin. Je n'ai pas ressentit de moments longs dans le film, on ne s'ennuis jamais et il y a toujours des événements inattendus ! A voir !;;;; 5
Ce film est une pure bombe!! Graphiquement, que dire? L' histoire est bien rodé, le scénario limite impeccable; sans oublier du zombie en masse, et de nouveau virus. Tout contribuent à adorer ce film, revoir Ada et Leon, trop cool aussi! Seul déception, pas de Claire!  Enfin voila, à voir obligatoirement.;;;; 5
Magnifique, gigantesque, excellent, avec toujours la griffe Tarantino. De très bon acteurs, une bande son énorme, de l'action de l'émotion. Très bon.;;;; 5
Les afficionados du film d'action resteront sur leur faim, mais dans son genre, ce film est un pur chef d'oeuvre tant la charge émotionnelle est forte. Tommy Lee Jones, empreint de gravité, est véritablement époustouflant et il est heureux de voir qu'aujourdhui il existe encore des acteurs Majuscule. Haggis frappe une nouvelle fois très fort...;;;; 5
Encore un film excellent de la part de Nolan dans la lignée de Inception mais encore plus poussé du point de vue de la réflexion. Très bien réalisé comme d'habitude de la part de Nolan, on peut le découper en trois parties en parfaites cohésion les unes par rapport aux autres. La dernière partie ne plaira pas forcement à tout le monde vu qu'elle aborde encore plus le côté physique quantique qui demande une plus grosse compréhension par rapport au reste du film. Sans gros effets spéciaux on peut dire que Interstellar s'inscrit comme l'un des meilleurs films de science-fiction de l'année 2014.;;;; 4.5
Il est énorme !!! le 3 on voyez qu'il y avez de l'essoufflement mais là le meilleur de toute la saga c'est sur, beaucoup de rebondissement je le conseille à tous !!;;;; 5
un chef d'oeuvre ce film ,tout est parfait (les effets speciaux ,les acteurs,la musique ) un film qui merite tout ces oscars;;;; 5
ce film fait partie de la catégorie des oeuvres que je refuse de revoir ( je suis sorti en larme de la salle), la vie est assez déprimante comme ça.Si vous ne l'avez pas vu : faites-le;;;; 5
wouhaou.....et bien très bonne surprise ! grande fan de la saga j'étais un peu sceptique.. bien sûre réjouie d'une suite mais javais aussi peur de voir tomber la franchise.. heureusement l'équipe enfin réunie des premiers opus a réussi le pari avec brio ! scène d'ouverture originale, références et clins d'oeils aux films précédents, humour noir et suspens haletant..! mention spécial pour la scène finale !;;;; 4
Pour résumer: un film d'une nullité à faire peur (jeu d'acteur moyen, scénario brouillon et remplis d'incohérences) et qui essaye de faire passer un message d'une naïveté sans précèdent. Je faisais souvent "confiance" à la note spectateur sur allociné, mais la faut pas déconner... 3,5/4 ?! Allo le monde ? Le film est au même niveau que la chanson que je viens de citer. Comment peut-on mettre 3 ou même 4 à ce genre de film ? La fin est un flagrant aveu de la médiocrité de ce film. Elle n'est en aucun cas nécessaire ou cohérente avec le reste de l'histoire... Seulement, le réalisateur ayant un minimum de bon sens a du se rendre compte après le montage que son film partant dans tous les sens était nul a chier... Qu'à cela ne tienne ! On va flinguer un môme de 12 ans comme ca on va faire pleurer des les chaumières et les gens vont adorer le film. Et le pire c'est que ca marche... Chapeau l'artiste !;;;; 5
C'est un beau film, bien réalisé mais biensur comme vous l'avez souligné il manque beaucoup de passages importants et c'est vraiment dommage pour un film si attendu ! Mais il reste un "Harry Potter" et rien que pour ça il mérite quand même 3 étoiles ^^ ! j'espère juste que la suite sera à la hauteur du livre!;;;; 4
4sur5 Le réalisateur d'Evil Dead et de Darkman se voit définitivement intégré par Hollywood qui lui confie l'adaptation live de Spider-Man, vieille icône des comics Marvel. Un début affreusement cliché autour de l'archétype de l'intello scientifique asocial malgré lui. Un super-blaireau qui acquiert de super-pouvoirs ; si le genre est geek par tradition, ce super-héros là l'est par définition. Mais le film dépasse tous les stéréotypes sur lesquels il se fonde (''j'ai un don/une malédiction'' : Monk aussi, hein!), et partant, surpasse toutes les espérances. Car ce que Raimi met en scène, c'est une brillante métamorphose : le personnage s'affirme, se dote d'une certaine répartie, gagne en charisme. Il devient attachant et son capital sympathie inespéré permet au spectateur de s'impliquer. C'est d'ailleurs la sensation globale éprouvée devant ce Spider-Man : le film part du cliché, et d'un héros sans attrait, pour devenir particulièrement stimulant et ouvert (d'une romance insipide il évolue vers une intimité riche) ; tout devient possible et cet état d'omnipotence est forcément séduisant. Les séquences édifiantes et intimistes s'emmêlent sans laisser le moindre répit (le combat dans l'immeuble de feu, pour ne citer que lui, concilie parfaitement ces deux pôles) ; le simple film de super-héros est chargé d'une force émotionnelle telle que Spider-Man en arrive à ressembler à une sorte de conte. Un conte sur la mue, le passage à l'âge adulte, les choix qu'il implique et le courage qu'il exige (on pourra estimer que les pouvoirs permettent l'accomplissement de la puberté). C'est aussi la lutte de deux personnages en plein dédoublement ; en face, Willem Dafoe, gueule hors-norme pour parfait méchant, campe un Bouffon Vert cynique à la rhétorique séduisante. Une créature du Mal qui n'est pas sans rappeler le Joker du premier Batman.http://videodrome.over-blog.net/;;;; 4
J'adore ce film, il a le mérite de montrer d'une part, la realité cruelle d'une famille qui essaye de remonter la pente , et en même temps d'un petit garcon qui garde espoir en l'humanité .. Apparament la plupart des personnes ne comprennent pas la philosophie du film, le fait qu'il n'y est pas trop de rebondissement " à l'americaine " rend le film plus adaptable a nos propres vies . Les acteurs sont geniaux et interpretent leurs roles grandiosement, justement parce qu'il sont comparable a vous et moi, et ne sont pas sans peur ou plein d'humour , ce qui aurait attiré plus de spectateur ingnorant par contre .. Bref je conseille , et je F**k les amateurs de pur film d'action sans interet qu'il aurait préféré voir .;;;; 5
Comédie musicale qui donne le sourire... Avec un jolie Happy End à l'americaine;;;; 4
Une excellente surprise. Je vais rarement voir James Bond : généralement, je m'ennuie devant la succession attendue de scènes d'action cousue de fil blanc. Cette fois, les personnages m'ont semblé plus profond, mieux incarné. L'action limpide et bien menée. Bref, j'ai passé un excellent moment.;;;; 3.5
C'est un film profond et émouvant! Mon professeur de religion me l'a fait découvrir en secondaire. J'en ai un très bon souvenir c'est pour ça que je met 5/5. A conseiller vivement.;;;; 5
Une histoire à la base géniale très bien exploitée, à l'aide d'effets spéciaux qui méritent le prix qu'ils ont coûtés. Des grosses machines qui se transforment dans tous les sens, des acteurs moyens qui surjouent des gros clichés super-américains; une histoire d'amour superficielle, avec un Shia LaBeouf qui deviendra surement un grand, et une Megan Fox dont, en tant que mâle, je ne dirai rien...Bref, un bon gros blockbuster bien divertissant comme on les aime...Par contre Michael Bay nous fait toujours du Michael Bay : quelqu'un pourrait-il lui apprendre à tenir une caméra ?;;;; 5
Mon avis est difficile à définir mais s'en m'être tout à fait ennuyée pendant le film, à la fin je suis sortie avec l'impression d'avoir perdu mon temps... J'ai bien compris que le film met l'accent sur les relations entre les personnages, les secrets de famille et la notion d'argent, plutôt que sur les actions proprement dites, ce qu'elles impliquent sur le destin et le futur des personnages mais j'ai trouvé que rien n'a été creusé, rien... j'ai eu l'impression d'attendre tout le film quelque chose qui n'a pas eu lieu, du coup, je suis en colère...J'ai regardé les critiques de spectateurs, celles de la presse, qui sont dans l'ensemble positives et je ne m'y retrouve pas... j'ai du passer à côté du film... voilà.;;;; 5
C'est un chef d'oeuvre, méritant sa récompense au Festival de Cannes.C'est un film très dur à conseiller avec précaution.C'est parfaitement interprété, et mis en oeuvre , bravo les artistes.Un peu long, mais on n'a pas le temps de souffler ni de s'endormir (c'est un senior qui parle !);;;; 5
Que dire si ce n'est que Peter Jackson est un génie du cinéma fantastique... Une épopée en Terre du Milieu tout simplement incroyable !;;;; 5
Un film simple et sympathique! Le sujet est bien traite, sous divers aspects bien que le sujet à déjà été traite au paravent rien de nouveau...;;;; 2.5
Sublime á tous les niveaux : scénario, musique, image, casting ...;;;; 5
Film correct, mais ne casse pas trois pâtes à un canard.Il y a de belles actions avec un bon budget démolition :) De jolies effets spéciaux tout numérique.Mais jai trouvé qu'il aurait pu être encore plus travaillé, surtout plus d'humour. La relation père / fils aurait aussi pu être plus intéressante.;;;; 3
Je suis déçue, je m'attendais à mieux : le scénario est décevant, la lenteur délicieuse des films chinois se fait longue, on dirait que les scènes sont un assemblage de séquences sans lien réel. Seul le quotidien de l'héroïne qui travaille comme hôtesse de bar est très réaliste et intéressant, le reste s'oublie vite...;;;; 1
J'adore ! Vraiment il surpasse le 2 et le 3 et égal le 1er volet !Un final qui nous laisse par terre !;;;; 4
Film très beau et très  plus est les paysages sont magnifiques. Pas de prises de têtes. En bref, courez-y;;;; 3.5
Probablement le meilleur film que j'ai vu. A lui seul, il réunit : un super scénario, une réflexion scientifique et philosophique, une intrigue bien ficelé, des images images à couper le souffle et une musique juste incroyable. Bref, ce film est comme un manège à sensations : en sortant vous serez bouleversé, déboussolé... mais vous n'aurez qu'une envie, le revoir.;;;; 5
Bonjour, Moi je m'appelle Guillaume et Moi j'ai fais un spectacle sur Moi avant que Moi je fasse un film sur Moi écrit par Moi pour me permettre à Moi de jouer Moi dans un film sur Moi ou je raconte ma pauvre histoire de gamin bourgeois et royaliste dans une famille pétée de tune qui me permet de me payer tout ce que je veux quand je vie une crise existentielle...Ben oui, on a vu le truc de Gallienne, j'avoue j'ai un peu ris... une fois..., j'ai bien aimé une chanson de Supertramp et j'ai pas encore vomi, mais patience, je sens que ça vient...;;;; 1.5
Adaptation du roman de Kerouac horriblement longue, je crois que c'est le film le plus ennuyeux qu'il m'ait été donné de voir (et pourtant) : ça se traîne en enchaînement de scènes de sexe, de drogues, de boissons (ce qui est curieux, avec des acteurs tous plus américains politiquement corrects) et on en voit quasiment pas le bout.Certains acteurs (sam riley, garret hedlund) s'en sortent sans trop être ridicules (quoique), le reste sombre dans le grotesque. Je ne conseille donc pas.;;;; 1
un scénario en béton, un jeu d'acteurs exceptionnel, des images éblouissantes, bref, un des rares chefs d'oeuvre de ce siècle, encore signé Nolan;;;; 5
Une excellente suite, c'est ce qu'on peut dire. Aucune surprise, le méchant est méchant, et Katnip doit retourner dans l'arène mais cette fois-ci contre... tout le monde... Les effets sont réussis, les acteurs sont justes, tout va bien si ce n'est qu'il manque la suite... C'est pour ?;;;; 4.5
Remarque perso pour tous les films vus à partir du o1 Janvier 2o11 :Film vu le Samedi 12 Février 2o11.4 Etoiles - Très bon film.;;;; 4
Impressionnant, pleins d'émotions, une vraie claque !;;;; 5
Un hymne à la vie ! Merci pour ce beau et bon moment ! Les enfants sont tellement attachant ! Je le conseil vivement !;;;; 5
Une fin en apothéose. Des combats d'anthologie, la fin de la quête. La meilleure trilogie de tous les temps;;;; 5
Riddick toujours aussi animal !ambiance prenantele scenario mériterait plus de surpriseGlobalement bon;;;; 4
Un film totalement sans intérêt qui ressemble à tout et rien. il aurait été préférable de changer la moquette avant de la fumer pour pondre ce navet.;;;; 5
Film qui réussit l'exploit de nous faire apprécier le précédent opus ( Astérix aux Jeux Olympiques ) , c'est dire .... Une grosse attente qui malheureusement comme toujours donne lieu à une grosse déception , un florilège d'acteurs talentueux qui malheureusement s'enlise dans un film fade et de faible intérêt . Bien que l'oeuvre de Goscinny et d'Uderzo soit respectée au niveau de l'histoire, on ne retrouve pas la légèreté de l'écriture et de l'humour...;;;; 1.5
Un fabuleux mélange de suspense, gore et humour ! j'ai adoré !;;;; 4.5
Un film impressionnant par sa reflexion et celle qu'il suscite chez le spectateur. On y va comme pour un magistral cours de philo. Barbara Sukowa crève litteralement l'ecran.;;;; 3
Plus fan de Daniel Greg que du concept James Bond, j'ai pourtant passé un excellent moment, je pense que c'est le meilleur James Bond que j'ai vu quant à Javier Bardem ouahhhh quelle performance !;;;; 4
Une daube fenomenalNe pas allez pour perdre 10 eurosPas intéressant et l'histoire n'est pas intéressante;;;; 5
J'ai trouvé ce documentaire excellent et bouleversant.Etonnant la quantité d'images d'archives qui ont pu être récupérées. A croire qu'elle passait ses journées avec une caméra braquée sur elle.Qu'on aime ou pas sa musique, c'est l'histoire d'un parcours, d'un naufrage, qui vaut pas mal de fictions même si évidemment, on connait la fin ...;;;; 4.5
une pure thuerie! a voir absolument! du sang a gogo quelques repliques marrantes... sa fait psychoter a la fin du film.;;;; 4
Touchant, inspirant, bouleversant. A voir absolument. Un monde meilleur, du titre original "Pay it forward" ne laisse pas indifférent.;;;; 4.5
A part les acteurs, il n'y a rien à sauver. L'idée de base est pas idiote, mais alors tout le reste du scénario est à jeter. Pas une blague marrante, pas un moment de sourire. Et même plutôt de la gène devant autant de sexisme, qui du coup frise limite le détournement de mineur (un mec de 40 pige qui mate des petits culs de 15 ans, c'est un peu limite).Bref, je dois pas être la cible de ce genre de film, mais cible ou pas, franchement c'est vraiment nul et vulgaire (et je parle pas de morale douteuse, mais de vulgarité artistique);;;; 1.5
Franchement, ce film est juste parfait. Le choix des musiques, des acteurs, du scénario l'est tout autant. On ne s'ennuie pas, il y a beaucoup d'actions, beaucoup d'humour, de l'amour, de la tristesse ... enfin bref, tout pour devenir l'un des films de l'année !;;;; 5
Je vais vous épargner les éternels "il était une fois..." ou ''c'est l'histoire de...", mais je vais tout simplement vous poser une question. Ne vous êtes vous jamais senti comme enveloppé dans une couverture en coton en regardant un film ? Il y a toujours un film que vous pouvez voir et revoir, avec la même ferveur, la même émotion ? Votre film de chevet en quelque sorte. Beginners est un film rempli d'humanité, de douce mélancolie qui vous prend par la main et vous entraîne dans un voyage à travers vos souvenirs. Christopher Plummer est impérial dans le rôle d'un père aimant et loyal, qui au crépuscule de sa vie, embrasse l'envie de vivre réellement selon sa vraie nature profonde. Ewan mcgregor est tout à fait juste dans le rôle du fils aimant. Il nous fait partager sa vision plein de tendresse pour un père trop absent, mais qui va lui apporter tout son amour pendant la fin de sa vie. Les seconds rôles sont sont tout aussi magnifiques, blessés par la vie et poignant. N'en faisant jamais trop, ne tombant jamais dans les travers de la niaiserie, ce film est avant tout une histoire d'amour, de toutes les sortes d'amour. l'amour est un risque que l'on prend mais le vrai risque est de ne pas réussir à aimer. Beginners vous prendra aux tripes et espérons le, vous donnera foie en l'amour inconditionnel et vous permettra de vous évader juste un court instant.;;;; 5
J'ai vu beaucoup de film, mais pour moi, celui ci est réellement une honte, on attend inlassablement que l'action ou du moins que quelque chose ce passe et quand 45min voir 1h plus tard on commence à avoir une bride de ceux pourquoi on est venu et bien l'esprit très timide durant le film s'incarne et tue tout le monde, 2 min montre en main et la c'est la fin !!! (3 moments de sur saut sur tout le film);;;; 5
Le film de l'année !  Un vrai claque ! Tant sur le plan cinématographique que sur le plan intellectuel On est complément transporté  dans une conception de l'univers qui dépasse toutes lois de notre physique actuelle et notre entendement ! Ce film est captivant, surprenant et intrigant ! Je le place directement en première place des films de science-fiction / fin du monde ! Techniquement le film est très bien mené on a une véritable intrigue qui se pose même si certain éléments du film reste assez prévisible.. En revanche rien n'est laissé au hasard tout s'imbrique parfaitement et cela nous plonge dans dans un autre univers ...Je vous le conseil grandement !!;;;; 5
Un film bien écrit et mis en scène, sur un sujet fort de ce fameux 21ème siècle. Vraiment à voir. Dommage qu'il ne jouisse que d'un nombre si restreint de copies...;;;; 5
Le film parfait d'après moi.Je ne comprend pas qu'il soit si peux connu.Personnellement je n'en avait jamais entendu parler avant aujourd'hui, c' est le genre de film qui mérite d' être plus connu.Je le conseil a tout le monde.;;;; 5
Labyrynte : Le remède mortel ,avec le réalisateur  Wes Ball  avec l'acteur  Dylan O Brian , Kaya  Scodelario , Thomas  Brodie -Sangster , Aidan Gillen Le film je l'ai déjà vu la 2  fois encore hier , il ont bien clôturer la finale j'avais déjà vu les 2 premiers du même Réalisateurs .Isa;;;; 5
Beaucoup aimé ce film divertissant et au scénario original;;;; 4
Un film sympa pour perdre sont temps, un film qui tombe à plat au tout dernier moment injuste passez votre chemin !;;;; 1
Avec ce nouveau film de Noël, Disney a encore fait redécouvrir la magie que ces films peuvent provoquer en chacun de nous. Il n'y à donc pas d'âge pour regarder des films Disney: celui ci était justement l'exemple. il était en un seul mot parfait. L'histoire nous entraîne dans un mélange entre action, magie et musique: exactement un film Disney! Tout au long du film on vit une histoire magique qui nous pousse à aimer le film. Ce que j'ai particulièrement apprécié, c'est le chanson qui accompagne le film: ils sont beau à entendre et il nous entraîne dans ce nouveau compt de Noël de Disney. Et pour finir, les personnage sont très attachant et il nous  permettent de mieux apprécier l'histoire. À VOIR ABSOLUMENT!;;;; 5
Je viens de le voir en avant-première ce soir. Il est tout simplement super. Très marrant, jeux de mots et  situations drôles, Si vous avez envie de rire de bon cœur, n'hésitez pas à aller voir ce film, il est même fortement conseillé pour les zygomatiques !;;;; 5
Ce film est très intense! D'un premier abord assez frileux voire déprimant, les vies se dénouent et les secret de ce petit village prennent tout leur sens. Très riche interprétation dans le jeu des acteurs, des silences qui en disent long, ... joli moment!;;;; 3.5
Un beau film. Les chorégraphies sont superbes, les images d'archives intéressantes, et c'est émouvant de voir cette compagnie orpheline...J'ai quelques réserves, ainsi la quasi idolâtrie entourant Béjart m'a un peu irritée, et j'ai trouvé que le thème "on transmet l'oeuvre du maître, tout en allant de l'avant" est répété un nombre incalculable de fois.Cela étant dit, je recommande ce film, car même si on ne connaît rien à la danse, comme moi, on est vraiment happé par la beauté, le perfectionnisme, l'énergie, la rage de cet art...;;;; 3
La réussite de ce premier opus tient à la façon qu'il a de repousser le moment inéluctable où le film et son personnage devront trancher entre l'une ou l'autre de ses deux destinées au point d'inventer, en cours de route, la figure plausible d'un superhéros sentimental.;;;; 4
Bon divertissement mais pas assez de fantastique !!!! Dommage pour un film de Tim Burton qui a toujours du nous faire rêver;;;; 2
Exceptionnel ! Parfait et magique ! Un film émouvant, prenant et réaliste.;;;; 5
Catherine Frot, je l'adore et elle joue très bien son rôle de vieille dame.Albert Dupontel est déjanté et le joue plutôt bien.La tortue très drôle (voire très drôle).Maintenant, j'ai trouvé ce film un peu plat quand même.ça reste un bon moment, mais on peut attendre de le voir dans son canapé.;;;; 2.5
je viens de voir ce film. Je m'attendais à un film comique français traditionnel et je me suis retrouvée face à un film dans la pure tradition anglo-saxonne. Ou plutot à un film français rendant hommage aux anglo-saxons. Est-ce parce que je suis franco-anglaise, mais j'ai ressenti avec amusement ce  double humour. C'était une expérience très nouvelle. Bravo.;;;; 5
Tres bien tres poetique, mais incohérence scientifique;;;; 3
Je l'ai vu en avant première à l'Alpe d'Huez.Drôle, original et extrêmement bien joué! À voir absolument!;;;; 5
J avais adoré le livre et le film M a enchanté! Belle histoire dans un décor extraordinaire avec des acteurs au plus juste! Très belle réalisation [spoiler][/spoiler];;;; 5
